Sample,Metric,Match Distance
69,Uniformified 32-bit Hash Metric Distance,5.94517e-05
69,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994563
69,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0031371
70,Uniformified 32-bit Hamming Metric Distance,0.85153
70,Uniformified 32-bit Approx Dual Streak Metric Distance,0.361493
70,Uniformified 32-bit Hash Metric Distance,0.00260523
70,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997496
70,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00743911
71,Uniformified 32-bit Hamming Metric Distance,0.918385
71,Uniformified 32-bit Approx Dual Streak Metric Distance,0.747159
71,Uniformified 32-bit Hash Metric Distance,0.00245616
71,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992897
71,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0181467
72,Uniformified 32-bit Hamming Metric Distance,0.756315
72,Uniformified 32-bit Approx Dual Streak Metric Distance,0.964978
72,Uniformified 32-bit Hash Metric Distance,0.00830804
72,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994654
72,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0170347
73,Uniformified 32-bit Hamming Metric Distance,0.85153
73,Uniformified 32-bit Approx Dual Streak Metric Distance,0.944542
73,Uniformified 32-bit Hash Metric Distance,0.000276166
73,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990283
73,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0119932
74,Uniformified 32-bit Hamming Metric Distance,0.993261
74,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
74,Uniformified 32-bit Hash Metric Distance,0.00256818
74,Uniformified 32-bit Symmetric Wrap Metric Distance,0.986857
74,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00808314
75,Uniformified 32-bit Hamming Metric Distance,0.918385
75,Uniformified 32-bit Approx Dual Streak Metric Distance,0.964978
75,Uniformified 32-bit Hash Metric Distance,0.00532903
75,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995039
75,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00834117
76,Uniformified 32-bit Hamming Metric Distance,0.756315
76,Uniformified 32-bit Approx Dual Streak Metric Distance,0.83418
76,Uniformified 32-bit Hash Metric Distance,0.0032369
76,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999105
76,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0128094
77,Uniformified 32-bit Hamming Metric Distance,0.918385
77,Uniformified 32-bit Approx Dual Streak Metric Distance,0.700476
77,Uniformified 32-bit Hash Metric Distance,0.00543566
77,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999509
77,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00720954
78,Uniformified 32-bit Hamming Metric Distance,0.918385
