Sample,Metric,Match Distance
52,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0123175
53,Uniformified 32-bit Hamming Metric Distance,0.916708
53,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
53,Uniformified 32-bit Hash Metric Distance,0.184561
53,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999315
53,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0168831
54,Uniformified 32-bit Hamming Metric Distance,0.959404
54,Uniformified 32-bit Approx Dual Streak Metric Distance,0.889211
54,Uniformified 32-bit Hash Metric Distance,0.510752
54,Uniformified 32-bit Symmetric Wrap Metric Distance,0.986622
54,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0135147
55,Uniformified 32-bit Hamming Metric Distance,0.916708
55,Uniformified 32-bit Approx Dual Streak Metric Distance,0.99655
55,Uniformified 32-bit Hash Metric Distance,0.980052
55,Uniformified 32-bit Symmetric Wrap Metric Distance,0.99281
55,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0112262
56,Uniformified 32-bit Hamming Metric Distance,0.749875
56,Uniformified 32-bit Approx Dual Streak Metric Distance,0.165983
56,Uniformified 32-bit Hash Metric Distance,0.284426
56,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999288
56,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0152354
57,Uniformified 32-bit Hamming Metric Distance,0.749875
57,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
57,Uniformified 32-bit Hash Metric Distance,0.483562
57,Uniformified 32-bit Symmetric Wrap Metric Distance,0.984696
57,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00834159
58,Uniformified 32-bit Hamming Metric Distance,0.628637
58,Uniformified 32-bit Approx Dual Streak Metric Distance,0.829367
58,Uniformified 32-bit Hash Metric Distance,0.1045
58,Uniformified 32-bit Symmetric Wrap Metric Distance,0.986984
58,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0073489
59,Uniformified 32-bit Hamming Metric Distance,0.916708
59,Uniformified 32-bit Approx Dual Streak Metric Distance,0.99655
59,Uniformified 32-bit Hash Metric Distance,0.616956
59,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997332
59,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0083631
60,Uniformified 32-bit Hamming Metric Distance,0.490701
60,Uniformified 32-bit Approx Dual Streak Metric Distance,0.975852
60,Uniformified 32-bit Hash Metric Distance,0.398737
60,Uniformified 32-bit Symmetric Wrap Metric Distance,0.982406
60,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0032574
61,Uniformified 32-bit Hamming Metric Distance,0.490701
61,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
61,Uniformified 32-bit Hash Metric Distance,0.818143
61,Uniformified 32-bit Symmetric Wrap Metric Distance,0.985753
61,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00738004
62,Uniformified 32-bit Hamming Metric Distance,0.847265
62,Uniformified 32-bit Approx Dual Streak Metric Distance,0.960304
62,Uniformified 32-bit Hash Metric Distance,0.175989
62,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995325
62,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0162743
63,Uniformified 32-bit Hamming Metric Distance,0.847265
63,Uniformified 32-bit Approx Dual Streak Metric Distance,0.29697
63,Uniformified 32-bit Hash Metric Distance,0.471547
63,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995369
63,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0161697
64,Uniformified 32-bit Hamming Metric Distance,0.749875
64,Uniformified 32-bit Approx Dual Streak Metric Distance,0.848665
64,Uniformified 32-bit Hash Metric Distance,0.657607
64,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991425
64,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0190012
65,Uniformified 32-bit Hamming Metric Distance,0.628637
65,Uniformified 32-bit Approx Dual Streak Metric Distance,0.692281
65,Uniformified 32-bit Hash Metric Distance,0.723997
65,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991554
65,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00722785
66,Uniformified 32-bit Hamming Metric Distance,0.994251
66,Uniformified 32-bit Approx Dual Streak Metric Distance,0.692281
66,Uniformified 32-bit Hash Metric Distance,0.554245
66,Uniformified 32-bit Symmetric Wrap Metric Distance,0.985475
66,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0112251
67,Uniformified 32-bit Hamming Metric Distance,0.847265
67,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
67,Uniformified 32-bit Hash Metric Distance,0.863999
67,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994444
67,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0173261
68,Uniformified 32-bit Hamming Metric Distance,0.628637
68,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
68,Uniformified 32-bit Hash Metric Distance,0.263309
68,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995358
68,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00860854
69,Uniformified 32-bit Hamming Metric Distance,0.916708
69,Uniformified 32-bit Approx Dual Streak Metric Distance,0.960304
69,Uniformified 32-bit Hash Metric Distance,0.456915
