Sample,Metric,Detour Difference
47,Uniformified 32-bit Hamming Metric Distance,0.490701
47,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0845915
47,Uniformified 32-bit Hash Metric Distance,0.336687
47,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0955071
47,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00261668
48,Uniformified 32-bit Hamming Metric Distance,-0.215778
48,Uniformified 32-bit Approx Dual Streak Metric Distance,0.263174
48,Uniformified 32-bit Hash Metric Distance,0.388456
48,Uniformified 32-bit Symmetric Wrap Metric Distance,1.79448
48,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00500571
49,Uniformified 32-bit Hamming Metric Distance,1.29927
49,Uniformified 32-bit Approx Dual Streak Metric Distance,1.35496
49,Uniformified 32-bit Hash Metric Distance,0.0854578
49,Uniformified 32-bit Symmetric Wrap Metric Distance,0.861845
49,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00189533
50,Uniformified 32-bit Hamming Metric Distance,1.29927
50,Uniformified 32-bit Approx Dual Streak Metric Distance,1.31392
50,Uniformified 32-bit Hash Metric Distance,0.655872
50,Uniformified 32-bit Symmetric Wrap Metric Distance,0.690036
50,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.996966
51,Uniformified 32-bit Hamming Metric Distance,0.728127
51,Uniformified 32-bit Approx Dual Streak Metric Distance,0.520798
51,Uniformified 32-bit Hash Metric Distance,0.990175
51,Uniformified 32-bit Symmetric Wrap Metric Distance,0.576593
51,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000492838
52,Uniformified 32-bit Hamming Metric Distance,1.25497
52,Uniformified 32-bit Approx Dual Streak Metric Distance,1.12554
52,Uniformified 32-bit Hash Metric Distance,0.175522
52,Uniformified 32-bit Symmetric Wrap Metric Distance,0.288086
52,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00515886
53,Uniformified 32-bit Hamming Metric Distance,0.490701
53,Uniformified 32-bit Approx Dual Streak Metric Distance,0.528947
53,Uniformified 32-bit Hash Metric Distance,0.0199021
53,Uniformified 32-bit Symmetric Wrap Metric Distance,0.442698
53,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00558817
54,Uniformified 32-bit Hamming Metric Distance,0.145135
54,Uniformified 32-bit Approx Dual Streak Metric Distance,0.590641
54,Uniformified 32-bit Hash Metric Distance,0.321911
54,Uniformified 32-bit Symmetric Wrap Metric Distance,1.58112
54,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00276508
55,Uniformified 32-bit Hamming Metric Distance,0.507399
55,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
55,Uniformified 32-bit Hash Metric Distance,-0.552845
55,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0030427
55,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00361636
56,Uniformified 32-bit Hamming Metric Distance,0.942006
56,Uniformified 32-bit Approx Dual Streak Metric Distance,1.11699
56,Uniformified 32-bit Hash Metric Distance,0.0888388
56,Uniformified 32-bit Symmetric Wrap Metric Distance,0.892346
56,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0133419
57,Uniformified 32-bit Hamming Metric Distance,0.0146485
57,Uniformified 32-bit Approx Dual Streak Metric Distance,0.314469
57,Uniformified 32-bit Hash Metric Distance,-0.506301
57,Uniformified 32-bit Symmetric Wrap Metric Distance,0.194766
57,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00208
58,Uniformified 32-bit Hamming Metric Distance,0.683132
58,Uniformified 32-bit Approx Dual Streak Metric Distance,0.392161
58,Uniformified 32-bit Hash Metric Distance,0.762034
58,Uniformified 32-bit Symmetric Wrap Metric Distance,0.065586
58,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995812
59,Uniformified 32-bit Hamming Metric Distance,0.490701
59,Uniformified 32-bit Approx Dual Streak Metric Distance,1.24018
59,Uniformified 32-bit Hash Metric Distance,-0.259418
59,Uniformified 32-bit Symmetric Wrap Metric Distance,0.501806
59,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00044
60,Uniformified 32-bit Hamming Metric Distance,0.123388
60,Uniformified 32-bit Approx Dual Streak Metric Distance,0.141036
60,Uniformified 32-bit Hash Metric Distance,-0.120598
60,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0556117
60,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00521821
61,Uniformified 32-bit Hamming Metric Distance,0.00474953
61,Uniformified 32-bit Approx Dual Streak Metric Distance,0.10199
61,Uniformified 32-bit Hash Metric Distance,-0.154778
61,Uniformified 32-bit Symmetric Wrap Metric Distance,0.286702
61,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.990009
62,Uniformified 32-bit Hamming Metric Distance,0.657534
62,Uniformified 32-bit Approx Dual Streak Metric Distance,0.59699
62,Uniformified 32-bit Hash Metric Distance,0.0901644
62,Uniformified 32-bit Symmetric Wrap Metric Distance,1.13485
62,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00239678
63,Uniformified 32-bit Hamming Metric Distance,0.916708
63,Uniformified 32-bit Approx Dual Streak Metric Distance,0.951055
