Sample,Metric,Match Distance
69,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.999942
70,Uniformified 32-bit Hamming Metric Distance,0.0386961
70,Uniformified 32-bit Approx Dual Streak Metric Distance,0.39981
70,Uniformified 32-bit Hash Metric Distance,0.605661
70,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00334386
70,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.990253
71,Uniformified 32-bit Hamming Metric Distance,0.354665
71,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
71,Uniformified 32-bit Hash Metric Distance,0.77744
71,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00656942
71,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00574664
72,Uniformified 32-bit Hamming Metric Distance,0.235526
72,Uniformified 32-bit Approx Dual Streak Metric Distance,0.750775
72,Uniformified 32-bit Hash Metric Distance,0.269131
72,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000851739
72,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997858
73,Uniformified 32-bit Hamming Metric Distance,0.00244976
73,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
73,Uniformified 32-bit Hash Metric Distance,0.647864
73,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00546136
73,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.998954
74,Uniformified 32-bit Hamming Metric Distance,0.0762924
74,Uniformified 32-bit Approx Dual Streak Metric Distance,0.147735
74,Uniformified 32-bit Hash Metric Distance,0.589929
74,Uniformified 32-bit Symmetric Wrap Metric Distance,6.50231e-05
74,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997197
75,Uniformified 32-bit Hamming Metric Distance,0.628637
75,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0547445
75,Uniformified 32-bit Hash Metric Distance,0.946916
75,Uniformified 32-bit Symmetric Wrap Metric Distance,0.003211
75,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000311841
76,Uniformified 32-bit Hamming Metric Distance,0.0762924
76,Uniformified 32-bit Approx Dual Streak Metric Distance,0.249325
76,Uniformified 32-bit Hash Metric Distance,0.437171
76,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00508052
76,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0014569
77,Uniformified 32-bit Hamming Metric Distance,0.0069993
77,Uniformified 32-bit Approx Dual Streak Metric Distance,0.252675
77,Uniformified 32-bit Hash Metric Distance,0.909231
77,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00809583
77,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.998848
78,Uniformified 32-bit Hamming Metric Distance,0.235526
78,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0547445
78,Uniformified 32-bit Hash Metric Distance,0.0437305
78,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00162613
78,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995714
79,Uniformified 32-bit Hamming Metric Distance,0.0386961
79,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
79,Uniformified 32-bit Hash Metric Distance,0.183047
79,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00370287
79,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0003578
80,Uniformified 32-bit Hamming Metric Distance,0.0069993
80,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
80,Uniformified 32-bit Hash Metric Distance,0.0907603
80,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000417289
80,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.996806
81,Uniformified 32-bit Hamming Metric Distance,0.354665
81,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00519948
81,Uniformified 32-bit Hash Metric Distance,0.287015
81,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00990851
81,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00139672
82,Uniformified 32-bit Hamming Metric Distance,0.00244976
82,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
82,Uniformified 32-bit Hash Metric Distance,0.505063
82,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0194543
82,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.994998
83,Uniformified 32-bit Hamming Metric Distance,0.235526
83,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00519948
83,Uniformified 32-bit Hash Metric Distance,0.983928
83,Uniformified 32-bit Symmetric Wrap Metric Distance,7.54358e-05
83,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00581775
84,Uniformified 32-bit Hamming Metric Distance,0.00244976
84,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
84,Uniformified 32-bit Hash Metric Distance,0.659602
84,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0152204
84,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00225811
85,Uniformified 32-bit Hamming Metric Distance,0.235526
85,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
85,Uniformified 32-bit Hash Metric Distance,0.119151
85,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00256391
85,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00370835
86,Uniformified 32-bit Hamming Metric Distance,0.140786
86,Uniformified 32-bit Approx Dual Streak Metric Distance,0.29697
86,Uniformified 32-bit Hash Metric Distance,0.148843
86,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0180538
86,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00344857
87,Uniformified 32-bit Hamming Metric Distance,0.000149985
87,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
87,Uniformified 32-bit Hash Metric Distance,0.893312
87,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00251807
87,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.993428
88,Uniformified 32-bit Hamming Metric Distance,0.140786
88,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
